number,suffix,pos,form,ending,example,support
([1-9][0-9]*)?1[1-9]$,,N,?,0,9918,2016
([1-9][0-9]*)?1[1-9]$,teta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,eta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,ta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,neteta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,eteta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,a,N,pl ab,teta,912a,49
([1-9][0-9]*)?1[1-9]$,ilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,lt,N,pl abl,ilt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,neilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,t,N,pl abl,ilt,911t,11
([1-9][0-9]*)?1[1-9]$,eilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,netelt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,elt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,lt,N,pl abl,telt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,t,N,pl abl,telt,911t,11
([1-9][0-9]*)?1[1-9]$,telt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,etelt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,l,N,pl ad,il,911-l,35
([1-9][0-9]*)?1[1-9]$,neil,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,il,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,eil,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,etel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,l,N,pl ad,tel,911-l,35
([1-9][0-9]*)?1[1-9]$,el,N,pl ad,tel,14-el,1
([1-9][0-9]*)?1[1-9]$,netel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,tel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,e,N,pl all,ile,912e,15
([1-9][0-9]*)?1[1-9]$,eile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,neile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,le,N,pl all,ile,9419-le,67
([1-9][0-9]*)?1[1-9]$,ile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,ele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,e,N,pl all,tele,912e,15
([1-9][0-9]*)?1[1-9]$,netele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,le,N,pl all,tele,9419-le,67
([1-9][0-9]*)?1[1-9]$,etele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,tele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,ist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,neist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,eist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,t,N,pl el,ist,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,pl el,ist,917-st,82
([1-9][0-9]*)?1[1-9]$,etest,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,est,N,pl el,test,12est,2
([1-9][0-9]*)?1[1-9]$,test,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,netest,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,t,N,pl el,test,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,pl el,test,917-st,82
([1-9][0-9]*)?1[1-9]$,eina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,ina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,na,N,pl es,ina,313-na,9
([1-9][0-9]*)?1[1-9]$,a,N,pl es,ina,912a,49
([1-9][0-9]*)?1[1-9]$,neina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,tena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,na,N,pl es,tena,313-na,9
([1-9][0-9]*)?1[1-9]$,netena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,a,N,pl es,tena,912a,49
([1-9][0-9]*)?1[1-9]$,ena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,etena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,e,N,pl g,te,912e,15
([1-9][0-9]*)?1[1-9]$,nete,N,pl g,te,,
([1-9][0-9]*)?1[1-9]$,te,N,pl g,te,215-te,2
([1-9][0-9]*)?1[1-9]$,ete,N,pl g,te,,
([1-9][0-9]*)?1[1-9]$,e,N,pl ill,isse,912e,15
([1-9][0-9]*)?1[1-9]$,isse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,neisse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,eisse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,sse,N,pl ill,isse,318sse,16
([1-9][0-9]*)?1[1-9]$,se,N,pl ill,isse,215-se,11
([1-9][0-9]*)?1[1-9]$,e,N,pl ill,tesse,912e,15
([1-9][0-9]*)?1[1-9]$,esse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,sse,N,pl ill,tesse,318sse,16
([1-9][0-9]*)?1[1-9]$,netesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,etesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,tesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,se,N,pl ill,tesse,215-se,11
([1-9][0-9]*)?1[1-9]$,is,N,pl in,is,318is,1
([1-9][0-9]*)?1[1-9]$,neis,N,pl in,is,,
([1-9][0-9]*)?1[1-9]$,eis,N,pl in,is,,
([1-9][0-9]*)?1[1-9]$,s,N,pl in,is,911s,32
([1-9][0-9]*)?1[1-9]$,etes,N,pl in,tes,,
