token,temp/tokens_syntax_preprocessing_1afaf23.json,temp/tokens_syntax_preprocessing_ba7a562.json
"!""#€%&/()=?","    ""<€%&"" L0> Y nominal  ","    ""#€%&"" L0 Y nominal  "
!#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
!#$*(%&$(*%&$,"    ""<$*(%&$(*%&$"" L0> Y nominal  ","    ""#$*(%&$(*%&$"" L0 Y nominal  "
!++,"    ""!"" L+ Z Exc  ","    ""!++"" Z Exc  "
!~~~,"    ""+0"" Y nominal  ","    """" L0 Y nominal  "
"""!#","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#""-","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#€""#%€&&@£@£$£","    ""<€\""#%€&&@£@£$£"" L0> Y nominal  ","    ""#€\""#%€&&@£@£$£"" L0 Y nominal  "
"""#€#%€&","    ""<€#%€&"" L0> Y nominal  ","    ""#€#%€&"" L0 Y nominal  "
"""#€%&/\()","    ""<€%&"" L0> Y nominal  ","    ""#€%&"" L0 Y nominal  "
"""')€#""/&€","    ""€<\""/&€"" L0> Y nominal  ","    ""€#\""/&€"" L0 Y nominal  "
"""@##","    ""@<#"" L0> Y nominal  ","    ""@##"" L0 Y nominal  "
#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#!,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#!/,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
##,"    ""<#"" L0> Y nominal  ","    ""##"" L0 Y nominal  "
###,"    ""<##"" L0> Y nominal  ","    ""###"" L0 Y nominal  "
####,"    ""+0"" Y nominal  ","    ""####"" L0 Y nominal  "
#####,"    ""<"" L0> Y nominal  ","    ""#####"" L0 Y nominal  "
######,"    ""<#"" L0> Y nominal  ","    ""######"" L0 Y nominal  "
#######,"    ""<##"" L0> Y nominal  ","    ""#######"" L0 Y nominal  "
###############,"    ""<##"" L0> Y nominal  ","    ""###############"" L0 Y nominal  "
###############################.,"    ""<##"" L0> Y nominal  ","    ""###############################"" L0 Y nominal  "
############<,"    ""+0"" Y nominal  ","    ""############"" L0 Y nominal  "
####*,"    ""+0"" Y nominal  ","    ""####"" L0 Y nominal  "
###-,"    ""<##"" L0> Y nominal  ","    ""###"" L0 Y nominal  "
##@,"    ""<#@"" L0> Y nominal  ","    ""##@"" L0 Y nominal  "
##££££,"    ""<#££££"" L0> Y nominal  ","    ""##££££"" L0 Y nominal  "
#$,"    ""<$"" L0> Y nominal  ","    ""#$"" L0 Y nominal  "
#$@#$,"    ""<$@#$"" L0> Y nominal  ","    ""#$@#$"" L0 Y nominal  "
#%,"    ""<%"" L0> Y nominal  ","    ""#%"" L0 Y nominal  "
#%#&,"    ""<%#&"" L0> Y nominal  ","    ""#%#&"" L0 Y nominal  "
"#%#€""","    ""<%#€"" L0> Y nominal  ","    ""#%#€"" L0 Y nominal  "
#%$#,"    ""<%$#"" L0> Y nominal  ","    ""#%$#"" L0 Y nominal  "
#%=,"    ""<%"" L0> Y nominal  ","    ""#%"" L0 Y nominal  "
#',"    ""<’"" L0> Y nominal  ","    ""#’"" L0 Y nominal  "
#'¤%,"    ""<’¤%"" L0> Y nominal  ","    ""#’¤%"" L0 Y nominal  "
#),"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#*$,"    ""<*$"" L0> Y nominal  ","    ""#*$"" L0 Y nominal  "
#**,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#***,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#*~@¤¤,"    ""<*@¤¤"" L0> Y nominal  ","    ""#*@¤¤"" L0 Y nominal  "
#+,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#-,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#-----[,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#.,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#:,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#=,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#@,"    ""<@"" L0> Y nominal  ","    ""#@"" L0 Y nominal  "
#@$*&,"    ""<@$*&"" L0> Y nominal  ","    ""#@$*&"" L0 Y nominal  "
#@%,"    ""<@%"" L0> Y nominal  ","    ""#@%"" L0 Y nominal  "
#¤,"    ""<¤"" L0> Y nominal  ","    ""#¤"" L0 Y nominal  "
#¤¤##¤,"    ""<¤¤##¤"" L0> Y nominal  ","    ""#¤¤##¤"" L0 Y nominal  "
#€#&,"    ""<€#&"" L0> Y nominal  ","    ""#€#&"" L0 Y nominal  "
#€%,"    ""<€%"" L0> Y nominal  ","    ""#€%"" L0 Y nominal  "
#€*,"    ""<€"" L0> Y nominal  ","    ""#€"" L0 Y nominal  "
$#!%$#,"    ""<!%$#"" L0> Y nominal  ","    ""$#!%$#"" L0 Y nominal  "
$#¤,"    ""<¤"" L0> Y nominal  ","    ""$#¤"" L0 Y nominal  "
%#,"    ""%<"" L0> Y nominal  ","    ""%#"" L0 Y nominal  "
%#$%,"    ""%<$%"" L0> Y nominal  ","    ""%#$%"" L0 Y nominal  "
%#%#,"    ""%<%#"" L0> Y nominal  ","    ""%#%#"" L0 Y nominal  "
%#'?,"    ""%<’"" L0> Y nominal  ","    ""%#’"" L0 Y nominal  "
%#@$#%,"    ""%<@$#%"" L0> Y nominal  ","    ""%#@$#%"" L0 Y nominal  "
%#£,"    ""%<£"" L0> Y nominal  ","    ""%#£"" L0 Y nominal  "
%%¤#,"    ""%%¤<"" L0> Y nominal  ","    ""%%¤#"" L0 Y nominal  "
%%¤##,"    ""%%¤<#"" L0> Y nominal  ","    ""%%¤##"" L0 Y nominal  "
%&^%$#,"    ""%&^%<"" L0> Y nominal  ","    ""%&^%$#"" L0 Y nominal  "
%*#,"    ""%*<"" L0> Y nominal  ","    ""%*#"" L0 Y nominal  "
%¤#,"    ""%¤<"" L0> Y nominal  ","    ""%¤#"" L0 Y nominal  "
%¤#¤#,"    ""%¤<¤#"" L0> Y nominal  ","    ""%¤#¤#"" L0 Y nominal  "
%€#€,"    ""%€<€"" L0> Y nominal  ","    ""%€#€"" L0 Y nominal  "
&#,"    ""&<"" L0> Y nominal  ","    ""&#"" L0 Y nominal  "
&.#.,"    ""&.<"" L0> Y nominal  ","    ""&.#"" L0 Y nominal  "
"&/€#"")()""%€""?","    ""&/€<\"")()\""%€"" L0> Y nominal  ","    ""&/€#\"")()\""%€"" L0 Y nominal  "
'#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
'*#|>-.,"    ""<|"" L0> Y nominal  ","    ""#|"" L0 Y nominal  "
'+',"    ""’"" L’ Z  ","    ""’+’"" Z  "
(+),"    ""("" L) Z Cpr Opr  ","    ""(+)"" Z Cpr  "
(+)-,"    ""("" L)- Z Dsh Opr  ","    ""(+)-"" Z Dsh  "
)(*&^%$#@!~<>?,"    ""&^%<@!"" L0> Y nominal  ","    ""&^%$#@!"" L0 Y nominal  "
)+(,"    "")"" L( Z Opr Cpr  ","    "")+("" Z Opr  "
)---+---(,"    "")---"" L---( Z Opr  ","    "")---+---("" Z Opr  "
)---+-------,"    "")---"" L------- Z Dsd  ","    "")---+-------"" Z Dsd  "
*#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
*##,"    ""<#"" L0> Y nominal  ","    ""##"" L0 Y nominal  "
+#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
++!!,"    ""+"" L!! Z Exc  ","    ""++!!"" Z Exc  "
++',"    ""+"" L’ Z  ","    ""++’"" Z  "
++),"    ""+"" L) Z Cpr  ","    ""++)"" Z Cpr  "
++){,"    ""+"" L){ Z  ","    ""++){"" Z  "
+++,"    ""+"" L+ Z crd  ","    ""+++"" Z crd  "
+++',"    ""++"" L’ Z  ","    ""+++’"" Z  "
++++,"    ""++"" L+ Z crd  ","    ""++++"" Z crd  "
+++++,"    ""+++"" L+ Z crd  ","    ""+++++"" Z crd  "
++++++,"    ""++++"" L+ Z crd  ","    ""++++++"" Z crd  "
++++++++++++++;,"    ""+++++++++++++"" L; Z Scl  ","    ""++++++++++++++;"" Z Scl  "
+++++++++++++;,"    ""++++++++++++"" L; Z Scl  ","    ""+++++++++++++;"" Z Scl  "
+++////,"    ""++"" L//// Z Sla  ","    ""+++////"" Z Sla  "
++-,"    ""+"" L- Z Dsh  ","    ""++-"" Z Dsh  "
++--,"    ""+"" L-- Z Dsd  ","    ""++--"" Z Dsd  "
++.,"    ""+"" L. Z Fst  ","    ""++."" Z Fst  "
++/,"    ""+"" L/ Z Sla  ","    ""++/"" Z Sla  "
++;,"    ""+"" L; Z Scl  ","    ""++;"" Z Scl  "
++=,"    ""+"" L= Z  ","    ""++="" Z  "
++},"    ""+"" L} Z  ","    ""++}"" Z  "
+-+-,"    ""+-"" L- Z Dsh  ","    ""+-+-"" Z Dsh  "
+----+------+--------+,"    ""+----+------"" L--------+ Z Dsd  ","    ""+----+------+--------+"" Z Dsd  "
+/%#,"    ""%<"" L0> Y nominal  ","    ""%#"" L0 Y nominal  "
+/+/,"    ""+/"" L/ Z Sla  ","    ""+/+/"" Z Sla  "
-#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
-++,"    ""-"" L+ Z Dsh  ","    ""-++"" Z Dsh  "
--+[,"    ""--"" L[ Z Osq  ","    ""--+["" Z Osq  "
----+------------------,"    ""----"" L------------------ Z Dsd  ","    ""----+------------------"" Z Dsd  "
------+------------------+--------------------,"    ""------+------------------"" L-------------------- Z Dsd  ","    ""------+------------------+--------------------"" Z Dsd  "
-------+---(,"    ""-------"" L---( Z Opr  ","    ""-------+---("" Z Opr  "
---------------+-------,"    ""---------------"" L------- Z Dsd  ","    ""---------------+-------"" Z Dsd  "
---------------------+---,"    ""---------------------"" L--- Z Dsd  ","    ""---------------------+---"" Z Dsd  "
.#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
.+(,"    ""."" L( Z Opr Fst  ","    "".+("" Z Opr  "
.-<|#*',"    ""|<*’"" L0> Y nominal  ","    ""|#*’"" L0 Y nominal  "
/#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
/#/#,"    ""</#"" L0> Y nominal  ","    ""#/#"" L0 Y nominal  "
"/(€#€""€","    ""€<€\""€"" L0> Y nominal  ","    ""€#€\""€"" L0 Y nominal  "
/++,"    ""/"" L+ Z Sla  ","    ""/++"" Z Sla  "
:#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:#:,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:#:/,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:-#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
;&#,"    ""&<"" L0> Y nominal  ","    ""&#"" L0 Y nominal  "
<!--#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
<#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
<<,     //_Z_ //,"    """" Z  "
<<<,     //_Z_ //,"    """" Z  "
<<<<,     //_Z_ //,"    """" Z  "
<<<<<,     //_Z_ //,"    """" Z  "
