token,../temp/tokens_syntax_preprocessing_9c73ae4.json,../temp/tokens_syntax_preprocessing_e0577e9.json
!++,"    ""!"" L+ Z Exc  ","    ""!++"" Z Exc  "
'+',"    ""’"" L’ Z  ","    ""’+’"" Z  "
(+),"    ""("" L) Z Cpr Opr  ","    ""(+)"" Z Cpr  "
(+)-,"    ""("" L)- Z Dsh Opr  ","    ""(+)-"" Z Dsh  "
)+(,"    "")"" L( Z Opr Cpr  ","    "")+("" Z Opr  "
)---+---(,"    "")---"" L---( Z Opr  ","    "")---+---("" Z Opr  "
)---+-------,"    "")---"" L------- Z Dsd  ","    "")---+-------"" Z Dsd  "
++!!,"    ""+"" L!! Z Exc  ","    ""++!!"" Z Exc  "
++',"    ""+"" L’ Z  ","    ""++’"" Z  "
++),"    ""+"" L) Z Cpr  ","    ""++)"" Z Cpr  "
++){,"    ""+"" L){ Z  ","    ""++){"" Z  "
+++,"    ""+"" L+ Z crd  ","    ""+++"" Z crd  "
+++',"    ""++"" L’ Z  ","    ""+++’"" Z  "
++++,"    ""++"" L+ Z crd  ","    ""++++"" Z crd  "
+++++,"    ""+++"" L+ Z crd  ","    ""+++++"" Z crd  "
++++++,"    ""++++"" L+ Z crd  ","    ""++++++"" Z crd  "
++++++++++++++;,"    ""+++++++++++++"" L; Z Scl  ","    ""++++++++++++++;"" Z Scl  "
+++++++++++++;,"    ""++++++++++++"" L; Z Scl  ","    ""+++++++++++++;"" Z Scl  "
+++////,"    ""++"" L//// Z Sla  ","    ""+++////"" Z Sla  "
++-,"    ""+"" L- Z Dsh  ","    ""++-"" Z Dsh  "
++--,"    ""+"" L-- Z Dsd  ","    ""++--"" Z Dsd  "
++.,"    ""+"" L. Z Fst  ","    ""++."" Z Fst  "
++/,"    ""+"" L/ Z Sla  ","    ""++/"" Z Sla  "
++;,"    ""+"" L; Z Scl  ","    ""++;"" Z Scl  "
++=,"    ""+"" L= Z  ","    ""++="" Z  "
++},"    ""+"" L} Z  ","    ""++}"" Z  "
+-+-,"    ""+-"" L- Z Dsh  ","    ""+-+-"" Z Dsh  "
+----+------+--------+,"    ""+----+------"" L--------+ Z Dsd  ","    ""+----+------+--------+"" Z Dsd  "
+/+/,"    ""+/"" L/ Z Sla  ","    ""+/+/"" Z Sla  "
-++,"    ""-"" L+ Z Dsh  ","    ""-++"" Z Dsh  "
--+[,"    ""--"" L[ Z Osq  ","    ""--+["" Z Osq  "
----+------------------,"    ""----"" L------------------ Z Dsd  ","    ""----+------------------"" Z Dsd  "
------+------------------+--------------------,"    ""------+------------------"" L-------------------- Z Dsd  ","    ""------+------------------+--------------------"" Z Dsd  "
-------+---(,"    ""-------"" L---( Z Opr  ","    ""-------+---("" Z Opr  "
---------------+-------,"    ""---------------"" L------- Z Dsd  ","    ""---------------+-------"" Z Dsd  "
---------------------+---,"    ""---------------------"" L--- Z Dsd  ","    ""---------------------+---"" Z Dsd  "
.+(,"    ""."" L( Z Opr Fst  ","    "".+("" Z Opr  "
/++,"    ""/"" L+ Z Sla  ","    ""/++"" Z Sla  "
?+++,"    ""+"" L+ Z crd  ","    ""+++"" Z crd  "
?+?+?+?+?=,"    ""+++"" L= Z  ","    ""++++="" Z  "
Kas-Tasub-Riskida,"    ""Kas-tasu"" Lb-risk_ida+ S prop cap  ","    ""Kas-tasu+b-risk_ida+"" S prop cap  "
Turuleviimis-,"    ""Turu"" Lle_viimis+ S prop cap  ","    ""Turu+le_viimis+"" S prop cap  "
asjade-välja-selgitamis,"    ""asja"" Lde-välja-selgitamis+ S com  ","    ""asja+de-välja-selgitamis+"" S com  "
juustelõikamis-,"    ""juus"" Lte_lõikamis+ S com  ","    ""juus+te_lõikamis+"" S com  "
karis-tusalas,"    ""kari"" Ls-tusa_las+ S com  ","    ""kari+s-tusa_las+"" S com  "
lugudetegemis-,"    ""lugu"" Lde_tegemis+ S com  ","    ""lugu+de_tegemis+"" S com  "
maaletoomis-,"    ""maa"" Lle_toomis+ S com  ","    ""maa+le_toomis+"" S com  "
otsimises-leidmises-mõistmis,"    ""otsimise+s-leidmise"" Ls-mõistmis+ S com  ","    ""otsimise+s-leidmise+s-mõistmis+"" S com  "
teedeplaneerimis-,"    ""tee"" Lde_planeerimis+ S com  ","    ""tee+de_planeerimis+"" S com  "
töölevärbamis-,"    ""töö"" Lle_värbamis+ S com  ","    ""töö+le_värbamis+"" S com  "
ustelihvimis-,"    ""us"" Lte_lihvimis+ S com  ","    ""us+te_lihvimis+"" S com  "
vettejuhtimis-,"    ""ve"" Ltte_juhtimis+ S com  ","    ""ve+tte_juhtimis+"" S com  "
