token,temp/tokens_syntax_preprocessing_ac3d125.json,temp/tokens_syntax_preprocessing_5f933b2.json
Astun-ei,"    ""astu+n-ei"" L0 V aux neg cap <FinV>  ","    ""astu+n-ei"" L0 V aux neg cap  "
E-EI,"    ""E-ei"" L0 V aux neg cap <FinV>  ","    ""E-ei"" L0 V aux neg cap  "
E-Ei,"    ""E-ei"" L0 V aux neg cap <FinV>  ","    ""E-ei"" L0 V aux neg cap  "
E-e-ei,"    ""E-e-ei"" L0 V aux neg cap <FinV>  ","    ""E-e-ei"" L0 V aux neg cap  "
E-ei,"    ""E-ei"" L0 V aux neg cap <FinV>  ","    ""E-ei"" L0 V aux neg cap  "
EI,"    ""ei"" L0 V aux neg cap <FinV>  ","    ""ei"" L0 V aux neg cap  "
EI-EI-EI,"    ""ei-ei-ei"" L0 V aux neg cap <FinV>  ","    ""ei-ei-ei"" L0 V aux neg cap  "
EI-ei,"    ""ei-ei"" L0 V aux neg cap <FinV>  ","    ""ei-ei"" L0 V aux neg cap  "
EI_,"    ""ei"" L0 V aux neg cap <FinV>  ","    ""ei"" L0 V aux neg cap  "
Ee-ee-ei,"    ""ee-ee-ei"" L0 V aux neg cap <FinV>  ","    ""ee-ee-ei"" L0 V aux neg cap  "
Ee-ei,"    ""ee-ei"" L0 V aux neg cap <FinV>  ","    ""ee-ei"" L0 V aux neg cap  "
Ee-ei-ei,"    ""ee-ei-ei"" L0 V aux neg cap <FinV>  ","    ""ee-ei-ei"" L0 V aux neg cap  "
Eee.ei,"    ""Eee._ei"" L0 V aux neg cap <FinV>  ","    ""Eee._ei"" L0 V aux neg cap  "
Eeh-ei,"    ""eeh-ei"" L0 V aux neg cap <FinV>  ","    ""eeh-ei"" L0 V aux neg cap  "
Eh-ei,"    ""eh-ei"" L0 V aux neg cap <FinV>  ","    ""eh-ei"" L0 V aux neg cap  "
Ei,"    ""ei"" L0 V aux neg cap <FinV>  ","    ""ei"" L0 V aux neg cap  "
Ei-ei-ei,"    ""ei-ei-ei"" L0 V aux neg cap <FinV>  ","    ""ei-ei-ei"" L0 V aux neg cap  "
Ei-ei-ei-ei,"    ""ei-ei-ei-ei"" L0 V aux neg cap <FinV>  ","    ""ei-ei-ei-ei"" L0 V aux neg cap  "
Ei-ei-ei-ei-ei,"    ""ei-ei-ei-ei-ei"" L0 V aux neg cap <FinV>  ","    ""ei-ei-ei-ei-ei"" L0 V aux neg cap  "
Eigi,"    ""ei"" L0gi V aux neg cap <FinV>  ","    ""ei"" L0gi V aux neg cap  "
G.W.ei,"    ""G.W._ei"" L0 V aux neg cap <FinV>  ","    ""G.W._ei"" L0 V aux neg cap  "
JAH-EI,"    ""jah-ei"" L0 V aux neg cap <FinV>  ","    ""jah-ei"" L0 V aux neg cap  "
Jah-Ei,"    ""jah-ei"" L0 V aux neg cap <FinV>  ","    ""jah-ei"" L0 V aux neg cap  "
Jah-ei,"    ""jah-ei"" L0 V aux neg cap <FinV>  ","    ""jah-ei"" L0 V aux neg cap  "
Meeldib-ei,"    ""meeldi+b-ei"" L0 V aux neg cap <FinV> <Intr> <All>  ","    ""meeldi+b-ei"" L0 V aux neg cap <Intr> <All>  "
OPEL-ei,"    ""Opel-ei"" L0 V aux neg cap <FinV>  ","    ""Opel-ei"" L0 V aux neg cap  "
Oh-oh-ei,"    ""oh-oh-ei"" L0 V aux neg cap <FinV>  ","    ""oh-oh-ei"" L0 V aux neg cap  "
Oi-ei,"    ""oi-ei"" L0 V aux neg cap <FinV>  ","    ""oi-ei"" L0 V aux neg cap  "
Oo-ei,"    ""oo-ei"" L0 V aux neg cap <FinV>  ","    ""oo-ei"" L0 V aux neg cap  "
Topelt-ei,"    ""topelt-ei"" L0 V aux neg cap <FinV>  ","    ""topelt-ei"" L0 V aux neg cap  "
Vabastan-ei,"    ""vabasta+n-ei"" L0 V aux neg cap <FinV> <NGP-P>  ","    ""vabasta+n-ei"" L0 V aux neg cap <NGP-P>  "
Viilmaa-ei,"    ""viil_maa-ei"" L0 V aux neg cap <FinV>  ","    ""viil_maa-ei"" L0 V aux neg cap  "
